Big trees,,2014-04-03,,,,,,,,,,,,,
,largest DBH of species in orange,,,,,,,,,,,,,,
ID,species,latitude,longitude,dbh (cm),dia. (in.),date measured,est. height (m),est. height (ft.),est. ave. crown spread (m),est. ave. crown spread (ft.),date measured,"""points""",Notes:,GUID (if assigned),
2-185,Ginkgo biloba,36.148559,-86.803091,100,39.4,2014-03-26,18.0,59,23.5,77,2014-05-05,202,"between Kirkland and Barnard Halls; ""Galloway's ginkgo""",http://bioimages.vanderbilt.edu/vanderbilt/2-101,
3-140,Quercus muhlenbergii,36.146027,-86.802842,97,38.2,2014-03-27,13.5,44,22.5,74,2014-06-27,183,By Station B post office entrance,http://bioimages.vanderbilt.edu/vanderbilt/7-282,
4-208,Sophora japonica,36.145698,-86.802318,75.5,29.7,2014-04-03,19.6,64,16.0,52,2014-06-27,171,east of Buttrick Hall; former state champion,none,
4-616,Juglans nigra,36.143527,-86.802791,72,28.3,2014-04-02,17.8,58,19.0,62,2014-06-27,163,between McTyeire and the Round Wing,none,
2-319,Magnolia grandiflora,36.146718,-86.802537,118,46.5,2014-03-26,,0,,0,,0,between Rand and Old Central; note: also has another 59 cm dbh stem,none,
n/a,Quercus rubra,36.144139,-86.798651,115.5,45.5,2014-04-03,,0,,0,,0,In front of University School of Nashville (formerly Peabody Demonstration School),none,
2-854,Quercus velutina,36.146544,-86.802207,115,45.3,2014-03-26,,0,,0,,0,north of Bicentennial Oak and east of Rand,http://bioimages.vanderbilt.edu/vanderbilt/7-313,
1-625,Quercus palustris,36.143637,-86.798166,113,44.5,2014-03-24,,0,,0,,0,tallest tree in northeast Magnolia Lawn,none,
2-247,Magnolia grandiflora,36.145914,-86.801047,110,43.3,2014-03-26,,0,,0,,0,in front of central library veering north,needs fixing,
2-663,Magnolia grandiflora,36.146968,-86.801186,109,42.9,2014-03-27,,0,,0,,0,northeast of Bishop McTyeire's tomb; trunk splits just above measured height,none,
1-672,Quercus phellos,36.143519,-86.799207,106,41.7,2014-03-27,,0,,0,,0,by entrance to Susan Gray playground,none,
1-298,Quercus rubra,36.143654,-86.799683,105,41.3,2014-03-29,,0,,0,,0,between 21st Ave.S. and Susan Gray playground,none,
2-780,Liriodendron tulipifera,36.14797,-86.802019,104,40.9,2014-03-25,,0,,0,,0,Between Kirkland and Furman Halls,http://bioimages.vanderbilt.edu/vanderbilt/3-4,
2-499,Quercus nigra,36.147402,-86.801837,101,39.8,2014-04-03,,0,,0,,0,Between Benson and Furman Halls,http://bioimages.vanderbilt.edu/vanderbilt/3-161,
1-68,Quercus alba,36.142542,-86.798875,100.5,39.6,2014-03-28,,0,,0,,0,Peabody Esplanade by library,none,
4-161,Ulmus americana,36.144624,-86.804118,100,39.4,2014-03-26,,0,,0,,0,Between Community Partnership House and power plant,none,
1-415,Tilia americana,36.143405,-86.798804,99.5,39.2,2014-03-27,,0,,0,,0,"Magnolia Lawn, east of Susan Gray School playground",none,
1-739,Quercus palustris,36.141819,-86.799562,99.5,39.2,2014-04-03,,0,,0,,0,southwest of the Peabody Administration Building,none,
3-138,Celtis occidentalis,36.146831,-86.806739,99,39.0,2014-04-03,,0,,0,,0,north of Pi Beta Phi house,none,
4-891,Carya illinoinensis,36.143763,-86.802875,98,38.6,2014-04-02,,0,,0,,0,between McTyeire and the Round Wing,http://bioimages.vanderbilt.edu/vanderbilt/11-208,
1-64,Celtis occidentalis,36.143121,-86.798821,98,38.6,2014-03-27,,0,,0,,0,east of Kennedy Center,none,
2-494,Platanus occidentalis,36.14782,-86.799511,98,38.6,2014-03-27,,0,,0,,0,Between the Law School and 21st Ave.,none,
4-365,Celtis occidentalis,36.145507,-86.80517,96,37.8,2014-03-26,,0,,0,,0,between Branscomb Quad and Vanderbilt Place,none,
3-194,Quercus palustris,36.145279,-86.802921,96,37.8,2014-04-02,,0,,0,,0,by the Vaughn home,none,
2-341,Quercus palustris,36.146515,-86.801903,96,37.8,2014-04-02,,0,,0,,0,between Garland and Rand Halls,none,
x,Celtis occidentalis,36.143879,-86.799771,96,37.8,2014-04-03,,0,,0,,0,south of the pedestrian bridge along 21st Ave.S.,none,
2-108,Quercus macrocarpa,36.145461,-86.801195,95,37.4,2014-03-26,,0,,0,,0,north of math bldg retaining wall,http://bioimages.vanderbilt.edu/vanderbilt/6-135,
2-759,Quercus alba,36.148681,-86.80281,95,37.4,2014-03-26,,0,,0,,0,between Kirkland and West End Ave.,none,
1-727,Magnolia grandiflora,36.142912,-86.798676,94.5,37.2,2014-03-27,,0,,0,,0,western magnolia in Magnolia Lawn along Magnolia Circle,none,
1-426,Ulmus americana,36.142815,-86.797726,94,37.0,2014-03-27,,0,,0,,0,"north of Mayborn Building, Peabody",none,
4-620,Magnolia grandiflora,36.145917,-86.802162,94,37.0,2014-03-26,,0,,0,,0,"front Buttrick, just n. of entry walk",none,
1-483,Quercus palustris,36.14384,-86.799431,93,36.6,2014-03-27,,0,,0,,0,Susan Gray playground,none,
2-1013,Tilia americana,36.146384,-86.800358,91,35.8,2014-03-27,,0,,0,,0,east of Benton Chapel,none,
3-196,Quercus shumardii,36.146593,-86.804201,90,35.4,2014-03-28,,0,,0,,0,"""Big Al"", in front of Cole Hall",http://bioimages.vanderbilt.edu/vanderbilt/7-223,
5-1074,Maclura pomifera,36.143214,-86.80632,90,35.4,2014-03-26,,0,,0,,0,Between Olin Hall and 25th Ave. S.,none,
2-638,Fraxinus americana,36.148788,-86.803243,90,35.4,2014-03-26,,0,,0,,0,east of Barnard Hall,none,
2-879,Quercus nigra,36.148166,-86.79974,90,35.4,2014-03-27,,0,,0,,0,east of Law School near the north gatepost,none,
4-512,Magnolia grandiflora,36.144305,-86.802685,90,35.4,2014-04-03,,0,,0,,0,northeast of Old Number 7,none,
1-314,Morus rubra,36.143422,-86.797564,89.5,35.2,2014-04-03,,0,,0,,0,north of Home Economics Bldg,none,
1-87,Quercus palustris,36.143246,-86.798028,88,34.6,2014-03-29,,0,,0,,0,east side Magnolia Lawn,none,
2-204,Ulmus americana,36.146859,-86.800767,87,34.3,2014-03-27,,0,,0,,0,between Divinity School and Owen GSM,none,
2-959,Magnolia grandiflora,36.145654,-86.801036,87,34.3,2014-03-26,,0,,0,,0,in front of central library veering south,none,
2-462,Quercus alba,36.147869,-86.802553,87,34.3,2014-04-02,,0,,0,,0,south of Kirkland Hall,none,
